account_uid,total_sent,total_received,txn_count_sent,txn_count_received,unique_receivers,unique_senders,avg_sent_amount,avg_received_amount,max_sent_amount,max_received_amount,txn_per_active_day,in_degree,out_degree,degree_centrality,pagerank,in_cycle,community_size,is_fraud
ACC00001,84412.5,89646.71,20,15,20,15,4220.63,5976.45,19567.42,19987.0,1.0938,15,20,0.007001,0.00023865,0,498,1
ACC00002,51525.62,32758.65,16,12,16,12,3220.35,2729.89,7536.03,7932.62,1.0769,12,16,0.005601,8.419e-05,1,498,0
ACC00003,1655634.0,42688.26,40,10,29,10,41390.85,4268.83,98694.0,9962.03,1.6129,10,29,0.007802,0.00010808,0,498,1
ACC00004,138719.75,40716.13,17,9,17,9,8159.99,4524.01,28813.6,11543.44,1.04,9,17,0.005201,0.00010663,0,498,0
ACC00005,447790.8,545366.63,6,16,6,16,74631.8,34085.41,427455.35,89319.0,1.5714,16,6,0.004401,0.00067077,0,664,1
ACC00006,68657.23,64605.11,20,17,20,17,3432.86,3800.3,7295.68,9895.73,1.1212,17,20,0.007401,0.00017249,1,498,0
ACC00007,108569.48,40815.89,19,12,19,12,5714.18,3401.32,33276.79,10427.78,1.0333,12,19,0.006201,0.00010076,0,498,0
ACC00008,64356.18,73277.07,19,12,19,12,3387.17,6106.42,21121.65,35102.54,1.1071,12,19,0.006201,0.00015502,0,498,0
ACC00009,78899.62,71526.86,15,18,15,18,5259.97,3973.71,14770.65,13235.18,1.1,18,15,0.006601,0.00013618,0,990,0
ACC00010,85618.89,53374.18,19,15,19,15,4506.26,3558.28,21163.19,11563.84,1.0625,15,19,0.006801,0.0001475,1,990,0
ACC00011,150722.95,51899.68,25,11,25,11,6028.92,4718.15,23203.99,13881.39,1.0,11,25,0.007201,0.00012792,1,920,0
ACC00012,45694.71,73312.09,15,15,15,15,3046.31,4887.47,10735.81,11128.22,1.1538,15,15,0.006001,0.00023687,1,255,0
ACC00013,82985.16,62013.55,18,14,18,14,4610.29,4429.54,28555.42,14235.85,1.0323,14,18,0.006401,0.00014414,0,920,0
ACC00014,164973.21,92925.34,15,19,15,19,10998.21,4890.81,71814.0,13350.21,1.0968,19,15,0.006801,0.00020542,1,920,1
ACC00015,132649.11,83188.0,27,15,27,15,4912.93,5545.87,22213.89,25055.05,1.1053,15,27,0.008402,0.00015868,1,498,0
ACC00016,85887.54,42474.56,24,13,24,13,3578.65,3267.27,11821.13,10322.16,1.0,13,24,0.007401,0.00010141,1,675,0
ACC00017,81820.88,96307.35,16,21,16,21,5113.8,4586.06,16193.68,18951.06,1.0,21,16,0.007401,0.00018317,1,920,0
ACC00018,24384.6,381617.84,8,22,8,22,3048.08,17346.27,5254.14,94004.0,1.1111,22,8,0.006001,0.00043222,1,920,1
ACC00019,574737.73,541671.21,16,18,16,18,35921.11,30092.85,480844.4,87412.0,1.4167,18,16,0.006801,0.00077558,0,920,1
ACC00020,55936.74,101544.69,14,16,14,16,3995.48,6346.54,11426.79,31221.93,1.0345,16,14,0.006001,0.00023799,0,664,0
ACC00021,42899.12,61613.28,12,18,12,18,3574.93,3422.96,9864.36,11688.01,1.0,18,12,0.006001,0.00014647,1,920,0
ACC00022,90115.92,110018.55,23,21,23,21,3918.08,5238.98,8737.6,33704.09,1.1,21,23,0.008802,0.00020135,0,920,0
ACC00023,102301.77,78162.73,16,12,16,12,6393.86,6513.56,28261.7,40202.45,1.037,12,16,0.005601,0.00011794,0,498,0
ACC00024,139685.47,81493.84,16,15,15,15,8730.34,5432.92,73775.0,27527.9,1.0,15,15,0.006001,0.00017487,0,990,1
ACC00025,83448.63,33070.88,18,12,18,12,4636.03,2755.91,26132.56,7095.08,1.0,12,18,0.006001,8.413e-05,0,664,0
ACC00026,114712.2,100870.95,15,16,15,16,7647.48,6304.43,26962.85,33511.0,1.069,16,15,0.006201,0.00014379,0,498,1
ACC00027,170686.46,97297.19,24,15,24,15,7111.94,6486.48,37623.53,26868.0,1.0541,15,24,0.007802,0.0001526,1,675,1
