txn_uid,sender_uid,receiver_uid,amount,timestamp,txn_type,status,is_fraud,fraud_score
TXN0000001,ACC00939,ACC01641,456.43,2024-01-01 00:00:51,transfer,normal,0,0.0
TXN0000002,ACC01589,ACC02071,6648.38,2024-01-01 00:08:04,payment,normal,0,0.0
TXN0000003,ACC02436,ACC00447,2544.18,2024-01-01 00:08:28,payment,normal,0,0.0
TXN0000004,ACC01190,ACC03888,223.0,2024-01-01 00:15:39,withdrawal,normal,0,0.0
TXN0000005,ACC04215,ACC02542,2464.17,2024-01-01 00:21:51,payment,normal,0,0.0
TXN0000006,ACC00897,ACC00555,9940.85,2024-01-01 00:23:13,payment,normal,0,0.0
TXN0000007,ACC01415,ACC00090,6295.22,2024-01-01 00:34:32,withdrawal,normal,0,0.0
TXN0000008,ACC01312,ACC02574,19765.21,2024-01-01 00:35:47,withdrawal,normal,0,0.0
TXN0000009,ACC04816,ACC01571,4953.96,2024-01-01 00:36:45,payment,normal,0,0.0
TXN0000010,ACC00064,ACC02259,15856.81,2024-01-01 00:40:21,transfer,normal,0,0.0
TXN0000011,ACC00603,ACC02433,10796.18,2024-01-01 00:54:43,payment,normal,0,0.0
TXN0000012,ACC00016,ACC02268,1094.1,2024-01-01 00:59:23,payment,normal,0,0.0
TXN0000013,ACC04399,ACC00676,1356.91,2024-01-01 01:01:13,transfer,normal,0,0.0
TXN0000014,ACC04585,ACC00575,1357.91,2024-01-01 01:06:56,transfer,normal,0,0.0
TXN0000015,ACC04872,ACC00310,9190.54,2024-01-01 01:31:08,withdrawal,normal,0,0.0
TXN0000016,ACC03161,ACC03784,5917.42,2024-01-01 01:37:29,payment,normal,0,0.0
TXN0000017,ACC01760,ACC04716,21845.42,2024-01-01 01:52:15,payment,normal,0,0.0
TXN0000018,ACC00999,ACC02557,9174.61,2024-01-01 01:54:23,transfer,normal,0,0.0
TXN0000019,ACC00968,ACC00854,1322.83,2024-01-01 01:55:50,withdrawal,normal,0,0.0
TXN0000020,ACC01516,ACC02854,951.89,2024-01-01 01:59:35,payment,normal,0,0.0
TXN0000021,ACC04902,ACC01950,3882.76,2024-01-01 02:08:45,transfer,normal,0,0.0
TXN0000022,ACC03638,ACC01016,1140.83,2024-01-01 02:19:54,payment,normal,0,0.0
TXN0000023,ACC01990,ACC04277,7184.35,2024-01-01 02:29:03,payment,normal,0,0.0
TXN0000024,ACC01477,ACC03437,5348.25,2024-01-01 02:29:40,payment,normal,0,0.0
TXN0000025,ACC03012,ACC03137,2321.71,2024-01-01 02:30:34,withdrawal,normal,0,0.0
TXN0000026,ACC03800,ACC01091,9966.92,2024-01-01 02:50:12,payment,normal,0,0.0
TXN0000027,ACC00318,ACC02038,30984.69,2024-01-01 03:00:07,payment,normal,0,0.0
TXN0000028,ACC01812,ACC04483,3974.14,2024-01-01 03:12:14,withdrawal,normal,0,0.0
TXN0000029,ACC03756,ACC03627,2190.23,2024-01-01 03:12:51,transfer,normal,0,0.0
TXN0000030,ACC01487,ACC02050,2336.71,2024-01-01 03:20:41,transfer,normal,0,0.0
